forest_type,leaf_litter_%,graminoid_cover_%,forb_cover_%,vine_cover_%,epiphyte_cover_%,fern_cover_%,woody_debris_%,litter_depth_mm
21 year old,92,0,0,0,0,0,4.75,51.5
21 year old,98,0,0,0,0,0,8,61.5
21 year old,97,0,1,1,0,0,2,36.25
21 year old,97,0,0,0,0,0,7,41.75
21 year old,98,0,0,0,0,0,6,40.75
21 year old,99,0,0,0,0,0,11,36.5
21 year old,100,1,0,0,0,1.1,2,35.25
21 year old,99,0,1,0,0,0,8,44.75
21 year old,100,0,0,0,0,0,14,49
21 year old,99,0,0,0,0,0,5,49.75
21 year old,95,0,0,0,0,0,4,39.75
21 year old,99,0,0,0,0,0,5,38.5
10 year old,98,0,0,0,0,0,5,130
10 year old,100,0,0,0,0,0,8,67.5
10 year old,100,0,0,0,0,5,6,85
10 year old,100,0,0,0,0,0,9,110
10 year old,98,0,0,3,0,70,28,108.75
10 year old,100,0,0,0,0,65,10,80
10 year old,98,0,0,3,0,19,45,137.5
10 year old,97,0,0,0.5,0,20,70,76.25
10 year old,41,0,0,3,0,26,23,66.25
10 year old,90,0,0,0,0,23,39,66.25
10 year old,94,0,0,2,0,44,21,42.5
10 year old,93,0,0,4,0,45,22,55
5 year old,52,4,0,0,0,0,3,44.25
5 year old,70,9.6,0,1,0,0,8,19
5 year old,88,4,0,2.25,0,0,6.5,38.75
5 year old,53,2,0,2,0,0,2.5,31.25
5 year old,60,14,0,0.3,0,0.1,11,3.5
5 year old,9,3.5,0,2,0,4,4.5,12.5
5 year old,34,4,0,0.1,0,3,8,20
5 year old,32,10,0,3,0,3,3,17.5
5 year old,95,3,0,2,0,0,3,57.5
5 year old,94,0,0,1.5,0,3,6,41.25
5 year old,92,0,0,6,0,0,17,85
5 year old,100,0.1,0,2,0,0,2,105
secondary,100,0,30,1,0,0,1,68.5
secondary,95,0,0,0,0,0,3,35.5
secondary,95,0,4,1,0,0,2,37.75
secondary,94,0,0,10,0,0,1,34.5
secondary,97,0,0,19,0,0,1,37.75
secondary,97,1,9,0,0,0,6,38.25
secondary,100,0,0,1,0,0,4,54.75
secondary,95,0,6,17,0,0,5,48.25
secondary,97,0,1,5,0,0,18,32.75
secondary,96,0,0,1,0,0,8,43.25
secondary,94,0,0,5,0,0,10,19.75
secondary,92,0,1,10,0,0,1,52.25
