site,forest_type,block,litter_depth_mm,mean_soil_pH_field,mean_soil_pH_lab,average_soil_water_percent,canopy_cover,mean_light_flux,mean_rel_humidity,mean_temp,total_groundcover_percent
1,21 year old,1,51.5,4.25,4.01,20.87,92.74,"2,932.00",67,30.4,100
1,21 year old,1,61.5,4.13,4.01,19.17,86.48,"2,932.00",57,33,100
1,21 year old,1,36.25,4.27,4.01,18.78,87.52,"2,932.00",57,33,98
1,21 year old,1,41.75,4.37,4.01,22.93,91.68,"2,932.00",57,33,100
1,21 year old,2,40.75,4.5,4.01,28.2,98.96,"2,932.00",57,33,100
1,21 year old,2,36.5,4.13,4.01,22.85,96.88,"2,932.00",57,33,100
1,21 year old,2,35.25,5.25,4.01,24.65,89.96,"2,932.00",57,33,100
1,21 year old,2,44.75,5.5,4.01,27.08,92.52,"2,932.00",57,33,98
1,21 year old,3,49,4.5,4.01,14.73,90.64,"2,932.00",57,33,100
1,21 year old,3,49.75,4.75,4.01,7.03,89.6,"2,932.00",57,33,99
1,21 year old,3,39.75,5.63,4.01,11.1,94.8,"2,932.00",57,33,95
1,21 year old,3,38.5,4.63,4.01,11.45,96.8,"2,932.00",57,33,100
2,10 year old,1,130,5.88,4.58,34.35,100,"2,170.00",37,30.4,98
2,10 year old,1,67.5,6,4.58,36,90.64,"2,170.00",37,30.4,100
2,10 year old,1,85,5.75,4.58,35.7,93.76,"2,170.00",37,30.4,100
2,10 year old,1,110,6,4.58,34.03,95.84,"2,170.00",37,30.4,100
2,10 year old,2,108.75,5.5,4.58,27.43,97.92,"2,170.00",37,30.4,98
2,10 year old,2,80,5.63,4.58,31.18,94.8,"2,170.00",37,30.4,100
2,10 year old,2,137.5,5.38,4.58,26,95.8,"2,170.00",37,30.4,100
2,10 year old,2,76.25,5.75,4.58,21.63,94.8,"2,170.00",37,30.4,97
2,10 year old,3,66.25,5.5,4.58,28.35,96.88,"2,170.00",37,30.4,92
2,10 year old,3,66.25,5.13,4.58,17.45,90.64,"2,170.00",37,30.4,94
2,10 year old,3,42.5,5.38,4.58,30.5,96.88,"2,170.00",37,30.4,98
2,10 year old,3,55,5.38,4.58,28.93,93.76,"2,170.00",37,30.4,98
3,5 year old,1,44.25,5.25,4.12,23.78,70.88,"6,997.00",73,31,70
3,5 year old,1,19,5.25,4.12,16.98,45.92,"6,997.00",73,31,92
3,5 year old,1,38.75,5,4.12,19.15,74,"6,997.00",73,31,97
3,5 year old,1,31.25,5,4.12,14.78,43.84,"6,997.00",73,31,94
3,5 year old,2,3.5,5,4.12,29.23,63.6,"6,997.00",73,31,98
3,5 year old,2,12.5,5.25,4.12,30.75,45.92,"6,997.00",73,31,98
3,5 year old,2,20,5.38,4.12,31.73,87.52,"6,997.00",73,31,95
3,5 year old,2,17.5,6.88,4.12,36.73,80.24,"6,997.00",73,31,93
3,5 year old,3,57.5,4.88,4.12,31.73,98.96,"6,997.00",73,31,96.5
3,5 year old,3,41.25,4.88,4.12,27.3,95.84,"6,997.00",73,31,97.5
3,5 year old,3,85,5,4.12,31.15,97.92,"6,997.00",73,31,100
3,5 year old,3,52.12,5.3,4.12,35.51,100.78,"6,997.00",73,31,102.75
4,secondary,1,68.5,4.63,4,32.25,92.72,"5,387.00",70,31,100
4,secondary,1,35.5,4.25,4,25.23,90.64,"5,387.00",70,31,97
4,secondary,1,37.75,5.13,4,29,88.56,"5,387.00",70,31,96
4,secondary,1,34.5,5.63,4,26.75,93.76,"5,387.00",70,31,96
4,secondary,2,37.75,4.25,4,24.68,90.64,"5,387.00",70,31,105
4,secondary,2,38.25,4.63,4,22.48,89.6,"5,387.00",70,31,102
4,secondary,2,54.75,5.25,4,76.95,88.56,"5,387.00",70,31,105
4,secondary,2,48.25,5.25,4,27.8,86.48,"5,387.00",70,31,101
4,secondary,3,32.75,5.13,4,20.88,86.48,"5,387.00",70,31,105
4,secondary,3,43.25,5.38,4,22.8,95.84,"5,387.00",70,31,106
4,secondary,3,19.75,5.63,4,26.78,96.88,"5,387.00",70,31,96
4,secondary,3,52.25,5.38,4,22.2,95.84,"5,387.00",70,31,93
